STT,SO_DANG_KY,TEN_THUOC,"MA_HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Số đăng ký)",MA_DUONG_DUNG,DUONG_DUNG,HAM_LUONG,DONG_GOI,HANG_SX,NUOC_SX
240,VD-25891-16,Finabrat 100,40.553,"Fenofibrat
",Fenofibrat ,1.01,Uống,100mg,Hộp 4 vỉ x 12 viên,Công ty cổ phần Pymepharco,Việt Nam
241,VD-25971-16,Hafenthyl 145mg,40.553,"Fenofibrat
",Fenofibrat ,1.01,Uống,145mg,Hộp 03 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,Công ty TNHH Hasan-Dermapharm,Việt Nam
242,VD-25983-16,Fenostad 200,40.553,"Fenofibrat
",Fenofibrat ,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Chi nhánh Công ty TNHH LD Stada-Việt Nam,Việt Nam
243,VD-26563-17,Fenostad 160,40.553,"Fenofibrat
",Fenofibrat ,1.01,Uống,160mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần dược phẩm 2/9 TP HCM,Việt Nam
244,VD-26609-17,Fenorel 160,40.553,"Fenofibrat
",Fenofibrat (dưới dạng pellet fenofibrat),1.01,Uống,160 mg,Hộp 3 vỉ x 10 viên,Chi nhánh Công ty TNHH LD Stada-Việt Nam,Việt Nam
245,VD-27136-17,Fenbrat 200M,40.553,"Fenofibrat
",Fenofibrat 200mg,1.01,Uống,200mg,Hộp 03 vỉ x 10 viên,Công ty cổ phần dược phẩm và sinh học y tế,Việt Nam
246,VD-28263-17,Lifibrat 200,40.553,"Fenofibrat
",Fenofibrat micronized 200mg,1.01,Uống,200mg,"Hộp 3 vỉ x 10 viên, hộp 10 vỉ x 10 viên",Công ty cổ phần hoá-dược phẩm Mekophar.,Việt Nam
247,VD-28296-17,Finabrat 300,40.553,"Fenofibrat
",Fenofibrat  300mg,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần Pymepharco,Việt Nam
248,VD-28525-17,Fenofibrate,40.553,"Fenofibrat
",Fenofibrat 200mg,1.01,Uống,200mg,Hộp 10 vỉ x 10 viên; Chai 100 viên,Công ty TNHH dược phẩm USA - NIC (USA - NIC Pharma),Việt Nam
249,VN-20461-17,Triglo,40.553,"Fenofibrat
",Fenofibrat 200mg,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Square Pharmaceuticals Ltd,Bangladesh
250,VD-17923-12,Vifucamin,40.579,Vincamin + rutin,Vincamin; Rutin,1.01,Uống,20 mg; 25 mg,Hộp 10 vỉ x 10 viên,Công ty cổ phần dược phẩm Hà Tây,Việt Nam
251,VD-20443-14,Mezavitin,40.579,Vincamin + rutin,Vincamin; Rutin,1.01,Uống,20 mg; 40 mg,Hộp 6 vỉ x 10 viên,Công ty cổ phần dược phẩm Hà Tây,Việt Nam
252,VD-12132-10,Mangoherpin,40.612,Mangiferin,Mangiferin,1.01,Uống,100mg,Hộp 2 vỉ x 10 viên nang (vỉ nhôm- PVC),Công ty Cổ phần BV Pharma,Việt Nam
253,VD-13223-10,Mangoherpin 2%,40.612,Mangiferin,mangiferin,1.01,Uống,2.0%,"Hộp 1 tuýp 5g, Hộp 1 tuýp 10g kem dùng ngoài",Công ty Cổ phần BV Pharma,Việt Nam
254,VD-13224-10,Mangoherpin 5%,40.612,Mangiferin,mangiferin,1.01,Uống,5.0%,"Hộp 1 tuýp 5g, Hộp 1 tuýp 10g kem dùng ngoài",Công ty Cổ phần BV Pharma,Việt Nam
255,VD-19264-13,Thuốc xịt miệng Mangoherpin DM,40.612,Mangiferin,Mangiferin,1.01,Uống,"0,3g",Hộp 1 chai 30 ml (chai thủy tinh màu nâu),Công ty Cổ phần BV Pharma,Việt Nam
256,VD-20143-13,Mangoherpin DM,40.612,Mangiferin,Mangiferin,1.01,Uống,2.5%,"Hộp 1 tuýp 10g, 15g (tuýp LDPE)",Công ty Cổ phần BV Pharma,Việt Nam
257,VD-7390-09,Mangoherpin 200,40.612,Mangiferin,Mangiferin,1.01,Uống,200mg,"Hộp 1 vỉ x 10 viên nang, Hộp 2 vỉ x 10 viên nang (vỉ nhôm - PVC)",Công ty Cổ phần BV Pharma,Việt Nam
258,VD-9627-09,Mangirosvim,40.612,Mangiferin,Mangiferin (75%-90%),1.01,Uống,500mg,chai 50 gam thuốc bột dùng ngoài,Công ty cổ phần Dược phẩm TW 25,Việt Nam
259,VD-25075-16,Mangoherpin,40.612,Mangiferin,Mangiferin,1.01,Uống,100mg,"Hộp 2 vỉ x 10 viên, hộp 10 vỉ x 10 viên.",Công ty Cổ phần BV Pharma,Việt Nam
260,VD-26664-17,Mangoherpin 5%,40.612,"Mangiferin
",Mỗi 5g chứa: Mangiferin  250 mg,3.01,Bôi,250 mg,"Hộp 1 tuýp 5g, 10g",Công ty Cổ phần BV Pharma,Việt Nam
261,VD-27462-17,Tinecol,40.613,"Miconazole nitrat + resorchinol
","Mỗi lọ 6g chứa: Miconazol nitrat 0,12g; Resorcinol 0,036g",3.05,Dùng ngoài,"0,12g, 0,036g",Hộp 1 lọ 6g,Công ty TNHH Dược phẩm Detapham.,Việt Nam
262,VD-18977-13,Dung dịch Milian,40.629,Xanh methylen + tím gentian,Xanh Methylen; Tím Gentian,3.05,Dùng ngoài,400mg/20ml; 50mg/20ml,Hộp 1 chai 20ml,Chi nhánh công ty cổ phần dược phẩm OPC tại Bình Dương - Nhà máy dược phẩm OPC,Việt Nam
263,VN-14921-12,Magnevist,40.635,"Dimeglumin của acid
gadopentetic","Acid Gadopentetic, Dimeglumine salt",2.10,Tiêm,"469,01mg/ml",Hộp 1 lọ 10ml,Bayer Pharma AG,Germany
264,VN-10689-10,Omniscan,40.639,Gadodiamid,Gadodiamide (GdDTPA-BMA),2.10,Tiêm,"0,5mmol/ml",Hộp 10 lọ 10ml,GE Healthcare Ireland,Ireland
265,VN-19545-16,Omniscan,40.639,Gadodiamid,Gadodiamide (GdDTPA-BMA),2.10,Tiêm,2870mg/10ml,Hộp 10 lọ x 10ml,GE Healthcare Ireland,Ireland
266,VN-10177-10,Betmag,40.640,Gadopentetat,Gadopentetate dimeglumin,2.10,Tiêm,"4,69g/10ml",Hộp 1 lọ 10ml,"Beijing Beilu Pharmaceutical Co., Ltd",China
267,VN-10887-10,Endorem,40.640,Gadopentetat,Gadopentetate dimeglumin,2.10,Tiêm,4690mg,Hộp 1 lọ 10ml,Unique Pharmaceuticals Labs (A Div. of J.B. Chemicals & Pharmaceuticals Ltd.),India
268,VN-13566-11,Magnegita,40.640,Gadopentetat,Gadopentetat dimeglumin,2.10,Tiêm,"469,01mg/ml",Hộp 10 lọ x 20ml,JSC Farmak,Ukraine
269,VN-13567-11,Magnegita,40.640,Gadopentetat,Gadopentetat dimeglumin,2.10,Tiêm,"469,01mg/ml",Hộp 10 lọ x 10ml,JSC Farmak,Ukraine
270,VN-14022-11,Betmag,40.640,Gadopentetat,Gadopentetate dimeglumine,2.10,Tiêm,"9,38g/20ml",Hộp 1 lọ 20ml,"Beijing Beilu Pharmaceutical Co., Ltd.",China
271,VD-16272-12,Lactacyd FH,40.651,Acid lactic + lactoserum atomisat,Acid lactic; Lactoserum atomisat,3.05,Dùng ngoài,"1g+0,93g/100ml",Hộp 1 chai 60ml; hộp 1 chai 250ml,Sanofi-Synthelabo Việt Nam,Việt Nam
272,VD-21888-14,Lactacyd BB,40.651,Acid lactic + lactoserum atomisat,Acid lactic; Lactoserum atomisat,3.05,Dùng ngoài,"0,05g/5ml; 0,0465g/5ml",Hộp 1 chai 60ml; hộp 1 chai 150ml; hộp 1 chai 250ml; hộp 12 gói x 5ml,Công ty Cổ phần Dược phẩm Sanofi-Synthelabo Việt Nam,Việt Nam
273,VD-8048-09,Lactacyd BB,40.651,Acid lactic + lactoserum atomisat,"Acid lactic, lactoserum atomisat",3.05,Dùng ngoài,,Chai 30ml; hộp 1 chai 60ml; hộp 1 chai 250ml thuốc nước dùng ngoài,Công ty Cổ phần Dược phẩm Sanofi-Synthelabo Việt Nam,Việt Nam
274,VD-27025-17,Lactacyd FH,40.651,"Acid lactic + lactoserum atomisat
","Mỗi 100ml chứa: Acid lactic 1g; Lactoserum atomisat 0,9g",3.05,Dùng ngoài,"1g, 0,9g",Hộp 1 chai 60ml; hộp 1 chai 150ml; hộp 1 chai 250ml,Công ty Cổ phần Dược phẩm Sanofi-Synthelabo Việt Nam,Việt Nam
275,VD-13844-11,Opegasdil,40.686,"Dimecrotic acid
(muối magnesi)",Magnesi dimecrotat,1.01,Uống,50mg,Hộp 4 vỉ x 10 viên nén bao phim,Công ty cổ phần Dược phẩm OPV,Việt Nam
276,VD-14350-11,Gastrigold,40.686,"Dimecrotic acid
(muối magnesi)",Magnesi dimecrotat,1.01,Uống,50mg,Hộp 4 vỉ x 10 viên nén bao phim,Công ty cổ phần Dược phẩm OPV,Việt Nam
277,VN2-471-16,Proctolog,40.737,Trimebutin + ruscogenines,Trimebutin; Ruscogenins,3.01,Bôi,"1,16g;  0,10g",Hộp 1 tuýp 20 g,Pfizer,France
278,VN-6763-08,Proctolog,40.737,Trimebutin + ruscogenines,Trimebutine; Ruscogenins,4.02,Đặt hậu môn,120; 110,Hộp 2 vỉ x 5 viên,Farmea,France
279,VN-8247-09,Proctolog,40.737,Trimebutin + ruscogenines,Trimebutine; Ruscogenins,3.01,Bôi,"1,16g;  0,10g",Hộp 1 tuýp 20g,Farmea,France
280,VD-25989-16,Hasanbin 200,40.737,"Trimebutin + ruscogenines
",Trimebutine maleate ,1.01,Uống,200mg,Hộp 03 vỉ x 10 viên; Hộp 05 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,Công ty TNHH Liên doanh HASAN - DERMAPHARM,Việt Nam
281,VD-26229-17,Spamoin 200,40.737,"Trimebutin + ruscogenines
",Trimebutine maleate ,1.01,Uống,200mg,Hộp 2 vỉ x 10 viên,Công ty TNHH Hasan-Dermapharm,Việt Nam
282,VD-26405-17,Derispan,40.737,"Trimebutin + ruscogenines
",Trimebutin (dưới dạng Trimebutin maleat) ,1.01,Uống,100mg,Hộp 4 vỉ x 15 viên nén,Công ty cổ phần dược phẩm Ampharco U.S.A,Việt Nam
283,VN-20273-17,Mother's trimebutine tab.,40.737,"Trimebutin + ruscogenines
",Trimebutine maleate ,1.01,Uống,100mg,Hộp 10 vỉ x 10 viên,"Mother's Pharmaceutical Co., Ltd.",Korea
284,VD-20902-14,Pesamin,40.738,Amylase + papain,Alpha amylase; Papain,1.01,Uống,10mg; 5mg,Hộp 1 chai 30 ml,Chi nhánh Công ty cổ phần dược TW Mediplantex,Việt Nam
285,VD-12805-10,Digesfit,40.739,Amylase + papain + simethicon,"Papain, Alpha amylase (Fungal diastase 1:800 40 đơn vị), Simethicon",1.01,Uống,65mg; 50mg; 25mg,Hộp 25 vỉ x 2 viên nén sủi bọt. Thùng carton đựng 50 hộp,Công ty cổ phần dược phẩm Cửu Long,Việt Nam
286,VD-6783-09,Enterpass,40.739,Amylase + papain + simethicon,"Alpha amylase, simethicon, papain",1.01,Uống,100mg; 30mg; 100mg,Hộp 10 vỉ x 10 viên nang mềm,Công ty cổ phần dược phẩm ME DI SUN,Việt Nam
287,VN-11355-10,Synneupep,40.739,Amylase + papain + simethicon,"Alpha amylase, Papaine, Simethicone",1.01,Uống,100mg; 100mg; 30mg,Hộp 3 vỉ x 10 viên,Synmedic Laboratories,India
288,VN-13447-11,Napepsin,40.739,Amylase + papain + simethicon,"Alpha Amylase, Papain, Simethicon",1.01,Uống,100mg; 100mg; 30mg,Hộp 10 vỉ x 10 viên,Cure Medicines (I) Pvt Ltd,India
289,VN-13921-11,Ecosac,40.739,Amylase + papain + simethicon,"Alpha amylase, Papain, Simethicone",1.01,Uống,100mg; 100mg; 30mg,Hộp 3 vỉ x 10 viên,"Curemed Healthcare Pvt., Ltd.",India
290,VN-13953-11,Sanagum,40.739,Amylase + papain + simethicon,"Alpha amylase, Papain, Simethicone",1.01,Uống,100mg; 100mg; 30mg,Hộp 3 vỉ x 10 viên,Cure Medicines (I) Pvt Ltd,India
291,VN-14114-11,Grazyme,40.739,Amylase + papain + simethicon,"Alpha amylase (fungal diastase 1:800), papain , Simethicone",1.01,Uống,,Hộp 3 vỉ x 10 viên,Gracure Pharmaceuticals Ltd.   ,India
292,VN-16979-13,Zysmas,40.739,Amylase + papain + simethicon,Alpha amylase (dưới dạng Fungal diastase 1 : 800) 100mg; Papain 100mg; Simethicon 30mg,1.01,Uống,100mg; 100mg; 30mg,Hộp 3 vỉ x 10 viên,"XL Laboratories Pvt., Ltd.",India
293,VN-17152-13,Neopeptine,40.739,Amylase + papain + simethicon,Alpha amylase (dưới dạng Fungal diastase 1 : 800) 100mg; Papain 100mg; Simethicone 30mg,1.01,Uống,100mg; 100mg; 30mg,"Hộp 3 vỉ x 10 viên, hộp 10 vỉ x 10 viên","Raptakos, Brett & Co., Ltd.",India
294,VD-26873-17,Enterpass,40.739,"Amylase + papain + simethicon
",Alpha amylase 100 mg; Papain 100 mg; Simethicon 30 mg;,1.01,Uống,"100 mg, 100 mg, 30 mg",Hộp 10 vỉ x 10 viên,Công ty cổ phần dược phẩm Me Di Sun,Việt Nam
295,7723.KD.12.1,Potenciator,40.741,Arginin,Arginine,1.01,Uống,5g/10ml,Hộp 20 ống 10ml,"Faes Farma., S.A",Spain
296,VD-11329-10,Pevitax,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
297,VD-11642-10,Argimisan,40.741,Arginin,Arginin glutamat,1.01,Uống,3g,"Hộp 20 lọ x 10ml, dung dịch uống",Công ty cổ phần Dược phẩm OPV,Việt Nam
298,VD-13566-10,Arbitol,40.741,Arginin,Arginin thiazolidin carboxylat,1.01,Uống,400mg,Hộp 1 túi nhôm x 10 vỉ x 10 viên nang cứng,Công ty cổ phần Korea United Pharm. Int' L.,Việt Nam
299,VD-13680-10,Arginine,40.741,Arginin,L-Arginin hydroclorid,1.01,Uống,200mg,Hộp 10 vỉ x 10 viên nang,Công ty TNHH SX-TM dược phẩm Thành Nam,Việt Nam
300,VD-14011-11,Atigimin,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty liên doanh dược phẩm Mebiphar-Austrapharm,Việt Nam
301,VD-14033-11,Lionel,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
302,VD-14119-11,Daganine,40.741,Arginin,Arginine tidiacicat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty Cổ phần Dược phẩm Hà Tây,Việt Nam
303,VD-14733-11,Viasarginin,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 6 vỉ x 5 viên nang mềm,Công ty Cổ phần Dược phẩm Hà Tây,Việt Nam
304,VD-14752-11,Quazimin,40.741,Arginin,L-arginin L-aspartat,1.01,Uống,1000mg,Hộp 20 ống x 5ml dung dịch uống,Công ty cổ phần Dược phẩm OPV,Việt Nam
305,VD-14759-11,Ulgina,40.741,Arginin,Arginine thiazolidine carboxylate,1.01,Uống,400mg,Hộp 5 vỉ x 10 viên nang,Công ty cổ phần Dược phẩm OPV,Việt Nam
306,VD-15061-11,Rigaton-S,40.741,Arginin,Arginin tidiaciat,1.01,Uống,400mg,hộp 6 vỉ x 10 viên nang mềm,Công ty TNHH Phil Inter Pharma,Việt Nam
307,VD-17484-12,Dafimin,40.741,Arginin,L-arginin L-aspartat,1.01,Uống,1g/5ml,Hộp 20 ống x 5ml,Công ty Cổ phần Dược phẩm OPV,Việt Nam
308,VD-20592-14,Arginine,40.741,Arginin,Arginin HCl,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên,Công ty TNHH sản xuất thương mại dược phẩm NIC (NIC Pharma),Việt Nam
309,VD-5440-08,Viasarginin - 200mg,40.741,Arginin,Arginin tidiacicat,1.01,Uống,200mg,Hộp 6 vỉ x 5 viên nang mềm,Công ty cổ phần dược phẩm Hà Tây.,Việt Nam
310,VD-5783-08,Arginine power-200mg,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
311,VD-6021-08,Verniking,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
312,VD-6022-08,Visganin,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
313,VD-6084-08,Agine-B - 200mg,40.741,Arginin,Arginin tidiacicat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
314,VD-6250-08,Morganin,40.741,Arginin,Arginin tidiacicate ,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược phẩm Hà Tây.,Việt Nam
315,VD-6806-09,Rofizin,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 10 vỉ x 10 viên nang mềm,Công ty cổ phần dược phẩm OPC,Việt Nam
316,VD-6938-09,Arfosdin,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
317,VD-6939-09,Ataganin,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
318,VD-6940-09,Atticmin,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
319,VD-6943-09,Hepasyzin,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
320,VD-6947-09,Superhepa,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
321,VD-7130-09,Lionel,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
322,VD-8530-09,Ganpotec,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty Cổ phần Dược phẩm Bos Ton Việt Nam,Việt Nam
323,VD-8779-09,Gelganin,40.741,Arginin,Arginine tidiacicat,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược phẩm Trường Thọ,Việt Nam
324,VN-11703-11,Macpower Soft Capsule,40.741,Arginin,Arginin tidiaciat,1.01,Uống,200mg,Hộp 12 vỉ 5 viên,"BRN Science Co., Ltd",Korea
325,VN-11930-11,Btogaron soft capsule,40.741,Arginin,Arginine Tidiacecate,1.01,Uống,200mg,Hộp 20 vỉ 5 viên,"BTO Pharmaceutical Co., Ltd",Korea
326,VN-8128-09,Eganin soft capsule,40.741,Arginin,Arginine Tidiacecate,1.01,Uống,2mg,Hộp 12 vỉ x 5 viên,"Dongkwang Pharmaceutical Co., Ltd.",Korea
327,VD-27732-17,Nadygenor,40.741,"Arginin
",Arginin aspartat 1 g,1.01,Uống,1 g,Hộp 20 ống x 5 ml,Công ty cổ phần dược phẩm 2/9 TP HCM,Việt Nam
328,VD-10954-10,Ladoarginine,40.743,Arginin hydroclorid,L arginin HCl,1.01,Uống,1g/5ml,Hộp 20 ống 5ml dung dịch uống,Công ty Cổ phần Dược Lâm Đồng - Ladophar.,Việt Nam
329,VD-11311-10,Doginine 200 mg,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên; Hộp 6 vỉ x 10 viên nang mềm,Công ty liên doanh dược phẩm Mebiphar-Austrapharm,Việt Nam
330,VD-11386-10,Nodizine,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,hộp 6 vỉ x 10 viên nang,Xí nghiệp dược phẩm 150 - Bộ Quốc Phòng,Việt Nam
331,VD-11667-10,Fudhexa 1000mg,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,1000mg,"hộp 10 ống, 20 ống, 30 ống, 50 ống, 100 ống x 5 ml dung dịch uống",Công ty cổ phần Dược phẩm Phương Đông,Việt Nam
332,VD-11668-10,Fudophar 400mg,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,400mg,"hộp 12 ống, 24 ống, 36 ống, 48 ống, 100 ống x 8 ml dung dịch uống",Công ty cổ phần Dược phẩm Phương Đông,Việt Nam
333,VD-11669-10,Fudophar 800mg,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,800mg,"hộp 12 ống, 24 ống, 36 ống, 48 ống, 100 ống x 8 ml dung dịch uống",Công ty cổ phần Dược phẩm Phương Đông,Việt Nam
334,VD-11947-10,Auliral-A,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,"Hộp 3 vỉ, 5 vỉ, 10 vỉ x 10 viên nang mềm",Công ty liên doanh dược phẩm Mebiphar-Austrapharm,Việt Nam
335,VD-12087-10,Germarginin,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 6 vỉ x 10 viên nang,Xí nghiệp dược phẩm 120- Công ty Dược và TTBYT Quân Đội.,Việt Nam
336,VD-12091-10,Armeginin,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 6 vỉ x 10 viên nang,Xí nghiệp dược phẩm 150 - Bộ Quốc Phòng,Việt Nam
337,VD-14265-11,Libefit,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần Dược phẩm Cần Giờ,Việt Nam
338,VD-17834-12,Amp - Ginine,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 10 vỉ x 10 viên,Công ty cổ phần Dược Đồng Nai.,Việt Nam
339,VD-18037-12,Elcocef Fort,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,500mg,Hộp 10 vỉ x 10 viên nang cứng,Công ty cổ phần dược-vật tư y tế Thanh Hoá,Việt Nam
340,VD-18745-13,Inopantine,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,300mg,Hộp 10 vỉ x 10 viên,Công ty cổ phần dược phẩm Me Di Sun,Việt Nam
341,VD-18886-13,Beco-Arginine,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,1g/5ml,Hộp 1 chai 60 ml; Hộp 20 gói x 5 ml,Công ty cổ phần dược phẩm Bến Tre,Việt Nam
342,VD-18951-13,Arginin hydroclorid,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,1g,Hộp 20 ống x 10 ml,Công ty cổ phần dược phẩm Hà Tây,Việt Nam
343,VD-19392-13,Diasolic,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,300mg,Hộp 10 vỉ x 10 viên,Công ty cổ phần dược phẩm Me Di Sun,Việt Nam
344,VD-19395-13,Entraviga,40.743,Arginin hydroclorid,L-arginin HCl,1.01,Uống,500mg,"Hộp 10 vỉ, 12 vỉ x 5 viên",Công ty cổ phần dược phẩm Nam Hà,Việt Nam
345,VD-19638-13,Tanagimax,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,400mg,"Hộp 10 vỉ, 12 vỉ, 20 vỉ x 5 viên",Công ty TNHH dược phẩm USA - NIC (USA - NIC Pharma),Việt Nam
346,VD-19641-13,Beco-Arginine,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 10 vỉ x 10 viên,Công ty Liên doanh Meyer - BPC.,Việt Nam
347,VD-19674-13,Ziegler,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,500mg,Hộp 6 vỉ x 10 viên,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
348,VD-19760-13,Daspa,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 6 vỉ x 10 viên,Chi nhánh công ty cổ phần Armephaco- Xí nghiệp dược phẩm 150,Việt Nam
349,VD-20036-13,Arginin PMP,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,500mg,Hộp 10 vỉ x 10 viên,Công ty cổ phần Pymepharco,Việt Nam
350,VD-20372-13,Argistad 500,40.743,Arginin hydroclorid,L-Arginin HCl,1.01,Uống,500mg,"Hộp 5 vỉ x 10 viên, hộp 6 vỉ x 10 viên, hộp 1 chai 100 viên nang cứng",Công ty TNHH LD Stada-Việt Nam,Việt Nam
351,VD-20540-14,Argistad 250,40.743,Arginin hydroclorid,L-Arginin HCl,1.01,Uống,250mg,"Hộp 5 vỉ x 10 viên, hộp 6 vỉ x 10 viên, hộp 1 chai 100 viên nang cứng",Công ty TNHH LD Stada-Việt Nam,Việt Nam
352,VD-20589-14,Argide,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,"Hộp 10 ống, 20 ống x 10 ml",Công ty TNHH sản xuất thương mại dược phẩm NIC (NIC Pharma),Việt Nam
353,VD-20590-14,Argide,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,"Hộp 5 vỉ, 10 vỉ x 10 viên. Chai 100 viên",Công ty TNHH sản xuất thương mại dược phẩm NIC (NIC Pharma),Việt Nam
354,VD-20591-14,Argide,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,"Hộp 10 ống, 20 ống x 5 ml",Công ty TNHH sản xuất thương mại dược phẩm NIC (NIC Pharma),Việt Nam
355,VD-21299-14,Newliverdine,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên,Công ty cổ phần dược phẩm Hà Tây,Việt Nam
356,VD-21508-14,Pargine,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,1000mg/10ml,"Hộp 2 vỉ, Hộp 4 vỉ, Hộp 6 vỉ, Hộp 8 vỉ x 5 ống nhựa x 10ml",Công ty cổ phần Dược phẩm CPC1 Hà Nội,Việt Nam
357,VD-21509-14,Argide,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 10 vỉ x 10 viên. Chai 100 viên,Công ty TNHH dược phẩm USA - NIC (USA - NIC Pharma),Việt Nam
358,VD-21991-14,Siqueira,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,500mg,Hộp 6 vỉ x 10 viên,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
359,VD-22200-15,Opezimin,40.743,Arginin hydroclorid,L (-) Arginin HCl,1.01,Uống,1g/5ml,Hộp 20 ống x 5ml; hộp 1 chai 60ml,Công ty cổ phần dược phẩm OPV,Việt Nam
360,VD-22466-15,Morganin,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,500mg,Hộp 6 vỉ x 10 viên,Công ty cổ phần dược phẩm Hà Tây,Việt Nam
361,VD-22649-15,Argide,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên,Công ty TNHH dược phẩm USA - NIC (USA - NIC Pharma),Việt Nam
